pen,77966,309.958,56.6123,4.57485
pen,77849,309.936,56.5488,4.58084
pen,77939,309.943,56.6424,4.58084
pen,77906,309.796,56.5996,4.57485
pen,87223,367.507,52.9638,6.67066
pen,78308,310.346,56.8128,4.57485
pen,77674,309.609,56.45,4.57485
pen,86164,365.359,52.6345,6.63473
pen,77820,309.789,56.5604,4.57485
pen,86477,366.316,52.7439,6.65868
pen,77906,309.864,56.6336,4.56886
pen,86346,365.844,52.7509,6.65269
pen,77712,309.685,56.4295,4.61446
pen,78128,310.147,56.7651,4.58084
pen,86077,364.698,52.6627,6.68675
pen,77823,309.811,56.5214,4.60241
pen,77784,309.875,56.4858,4.60241
pen,78425,310.385,56.9179,4.56886
pen,85853,364.562,52.5649,6.68675
pen,86751,366.333,52.8612,6.66467
fork,93791,427.425,51.0473,7.61905
fork,94149,428.229,51.1559,7.61905
fork,93977,430.399,51.0385,7.61905
fork,94353,432.437,51.0764,7.61905
fork,93852,426.339,51.1003,7.61905
fork,96244,443.579,51.2543,7.57396
fork,96416,446.115,51.2322,7.61905
fork,96678,448.054,51.2798,7.61905
fork,96487,445.979,51.2498,7.61905
fork,94679,438.036,50.9077,7.61905
fork,95895,443.845,51.1682,7.61905
fork,95405,442.017,51.0431,7.61905
fork,95524,441.795,51.2131,7.61905
fork,95788,444.464,51.1011,7.61905
fork,95698,443.743,51.1338,7.61905
fork,96832,450.913,51.1326,7.61905
fork,96925,452.572,51.1145,7.61905
sunglasses,86053,360.507,52.5946,6.59281
sunglasses,86129,360.529,52.6418,6.59281
sunglasses,86184,360.53,52.6806,6.59281
sunglasses,86218,360.739,52.6694,6.60479
sunglasses,85956,360.09,52.6011,6.58084
sunglasses,86321,360.924,52.7039,6.5988
sunglasses,86319,360.929,52.7018,6.60479
sunglasses,86030,360.261,52.6199,6.59281
sunglasses,85927,359.984,52.6042,6.58683
sunglasses,86093,360.301,52.6576,6.59281
sunglasses,86030,360.161,52.6327,6.58683
sunglasses,86077,360.333,52.637,6.59281
sunglasses,86097,360.42,52.6354,6.59281
sunglasses,86262,360.745,52.6913,6.5988
sunglasses,86226,360.69,52.6752,6.5988
sunglasses,85886,359.837,52.5951,6.58084
sunglasses,86502,361.387,52.7399,6.56548
sunglasses,86241,360.56,52.7037,6.5988
sunglasses,86147,360.375,52.6728,6.58683
